MJD	m	dm	uJy	duJy	F	err	chi/N	RA	Dec	x	y	maj	min	phi	apfit	mag5sig	Sky	Obs
59571.59799395	>19.4	0.0	12.994629644383451	32.199082304666966	o	>19.4	1.14	170.420820357143	20.1747992857143	317.28	2637.17	2.14	1.86	>19.4	-0.4577	18.52	166.5	02a59571o0320o
59571.59994715	>19.37	0.0	-61.91517362712041	33.16884301452879	o	>19.37	1.0	170.420820357143	20.1747992857143	337.78	2674.37	2.14	1.86	>19.37	-0.4647	18.49	166.6	02a59571o0324o
59571.60271305	>19.39	0.0	12.294355304577792	32.379193178392995	o	>19.39	1.17	170.420820357143	20.1747992857143	279.0	2595.46	2.21	1.91	>19.39	-0.4597	18.47	181.3	02a59571o0330o
59571.60775585	>19.44	0.0	-8.602073388694409	30.873194901889526	o	>19.44	0.98	170.420820357143	20.1747992857143	260.26	2712.76	2.17	1.89	>19.44	-0.4547	18.59	178.1	02a59571o0341o
59581.06991895	>18.689257520318876	0.0	84.28444948891774	40.63714528929963	o	>18.689257520318876	1.46	170.420820357143	20.1747992857143	2383.25	8680.07	2.76	2.07	>18.689257520318876	-0.4317	18.1	183.7	03a59581o0506o
59581.07371755	>19.8	0.0	-40.07584869477843	21.636041013131912	o	>19.8	1.07	170.420820357143	20.1747992857143	2366.9	8661.82	2.86	2.07	>19.8	-0.4307	18.91	181.1	03a59581o0514o
59581.08035195	>19.93	0.0	-43.77757655821248	19.245214815446065	o	>19.93	1.01	170.420820357143	20.1747992857143	2427.41	8770.67	2.69	2.07	>19.93	-0.4327	19.03	181.5	03a59581o0528o
59581.09117725	>18.2	0.0	-192.90396564560547	93.64270176971138	o	>18.2	0.85	170.420820357143	20.1747992857143	2465.86	8703.41	2.72	2.09	>18.2	-0.4247	17.28	178.6	03a59581o0551o
59589.50347405	>20.19	0.0	-19.00201113804946	15.452184881490773	o	>20.19	1.17	170.420820357143	20.1747992857143	2720.01	10283.3	3.02	2.88	>20.19	-0.4507	19.42	181.7	01a59589o0628o
59589.50581175	>20.12	0.0	-19.59983574843511	16.20253088537302	o	>20.12	1.41	170.420820357143	20.1747992857143	2702.47	10243.8	3.37	3.23	>20.12	-0.4367	19.27	181.7	01a59589o0633o
59589.50972545	>20.14	0.0	-13.520689378305502	15.978996537997414	o	>20.14	1.29	170.420820357143	20.1747992857143	1935.39	74.65	3.27	3.14	>20.14	-0.4407	19.31	179.0	01a59589o0641o
59589.51111255	>20.17	0.0	4.678181796910611	15.437999929805013	o	>20.17	1.15	170.420820357143	20.1747992857143	2763.95	10318.5	3.2	3.07	>20.17	-0.4377	19.36	180.9	01a59589o0644o
59589.51203415	>16.5	0.0	-12.086510779220395	455.66145637660895	o	>16.5	0.0	170.420820357143	20.1747992857143	1917.05	36.24	3.26	3.12	>16.5	-0.4367	19.35	171.8	01a59589o0646o
59589.51479615	>20.22	0.0	-23.731314545533976	14.832071590958735	o	>20.22	1.19	170.420820357143	20.1747992857143	1978.87	114.58	3.16	3.03	>20.22	-0.4407	19.38	180.4	01a59589o0652o
59589.52384215	>19.783640381209267	0.0	23.326737388210788	14.766466787032517	o	>19.783640381209267	0.98	170.420820357143	20.1747992857143	2791.97	10200.8	3.06	2.94	>19.783640381209267	-0.4447	19.43	181.7	01a59589o0668o
59590.04700865	>19.692321266259906	0.0	18.15453762737432	16.030070458213498	o	>19.692321266259906	1.33	170.420820357143	20.1747992857143	4243.15	6686.83	2.81	2.21	>19.692321266259906	-0.4297	19.26	181.9	03a59590o0217o
59590.04980575	>20.17	0.0	-48.4109970117248	15.386440910703229	o	>20.17	1.37	170.420820357143	20.1747992857143	4231.39	6660.5	2.76	2.18	>20.17	-0.4327	19.32	180.4	03a59590o0223o
59590.05541105	>19.70306787711222	0.0	20.897498827820783	15.912774336780966	o	>19.70306787711222	0.96	170.420820357143	20.1747992857143	4293.62	6765.1	2.79	2.23	>19.70306787711222	-0.4207	19.29	181.9	03a59590o0235o
59590.06520015	>20.17	0.0	-56.08196391951538	15.084114433524832	o	>20.17	1.35	170.420820357143	20.1747992857143	4329.62	6695.26	2.8	2.26	>20.17	-0.4137	19.3	180.9	03a59590o0256o
59591.49482725	>20.11	0.0	2.5795746080484405	16.460142737071003	o	>20.11	1.35	170.420820357143	20.1747992857143	6103.35	2397.51	2.23	1.98	>20.11	-0.4447	19.18	180.7	02a59591o0621o
59591.49711345	>20.21	0.0	-15.16881028387729	15.04648116868473	o	>20.21	1.18	170.420820357143	20.1747992857143	6122.61	2437.27	2.23	1.97	>20.21	-0.4467	19.22	182.6	02a59591o0626o
