###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58074.564997 -21.921  1.649    -6   10 c  0   1.09 136.46285  -8.58543 10184.56  3280.48 3.10 2.56  58.8 -0.448 19.65 21.41 02a58074o0660c
58074.573234 -21.735  1.524    -7   11 c  0   1.00 136.46285  -8.58543 10201.92  3322.05 3.14 2.67  62.5 -0.437 19.63 21.42 02a58074o0677c
58074.574632  21.337  1.029    11   11 c  0   0.72 136.46285  -8.58543   438.61  3255.78 2.96 2.55  54.2 -0.418 19.60 21.36 02a58074o0680c
58074.581282 -21.584  1.096    -8    9 c  0   1.42 136.46285  -8.58543 10142.83  3245.61 3.03 2.57  63.3 -0.443 19.67 21.45 02a58074o0694c
58074.582692  22.019  1.333     6    8 c  0   1.45 136.46285  -8.58543   455.95  3296.47 2.84 2.46  56.5 -0.428 19.63 21.40 02a58074o0697c
58074.589416 -21.326  0.915   -11   10 c  0   1.07 136.46285  -8.58543 10122.09  3363.95 2.90 2.49  61.1 -0.455 19.72 21.48 02a58074o0711c
58074.590843  21.614  1.085     8    9 c  0   1.18 136.46285  -8.58543   395.88  3219.71 2.72 2.44  53.6 -0.441 19.67 21.44 02a58074o0714c
58074.598866 -22.859  2.526    -3    7 c  0   1.78 136.46285  -8.58543   375.17  3338.10 2.75 2.40  56.1 -0.440 19.68 21.45 02a58074o0731c
58076.545402 -18.670  0.365  -124   45 o  0   0.82 136.46285  -8.58543  2227.54  6709.73 3.67 3.28 -86.9 -0.411 18.14 19.90 01a58076o0682o
58076.553403 -19.327  1.115   -68   75 o  0   1.09 136.46285  -8.58543  2204.90  6649.62 3.61 3.22 -89.0 -0.418 17.34 19.05 01a58076o0699o
58076.569215  20.789  3.700    18   65 o  0   0.94 136.46285  -8.58543  2276.70  6567.44 3.51 3.21  88.4 -0.455 17.77 19.45 01a58076o0733o
58078.553621  21.765  1.273     7    9 c  0   1.27 136.46285  -8.58543  9452.59  3042.00 2.91 2.67  43.0 -0.435 19.69 21.58 02a58078o0758c
58078.561820  21.421  1.136    10   11 c  0   0.87 136.46285  -8.58543  9470.42  3083.84 2.73 2.45  64.0 -0.469 19.77 21.60 02a58078o0775c
58078.569897  21.933  1.524     6    9 c  0   1.05 136.46285  -8.58543  9410.86  3007.05 2.71 2.49  57.7 -0.469 19.75 21.59 02a58078o0792c
58080.543720  23.166  8.000     2   16 o  0   1.18 136.46285  -8.58543  9465.01  9384.16 3.96 2.88 -83.6 -0.406 19.29 20.95 01a58080o0738o
58080.551713  25.359 61.000     0   16 o  0   1.01 136.46285  -8.58543  9442.08  9321.86 4.06 3.02 -82.9 -0.400 19.24 20.98 01a58080o0755o
58080.559606 -21.094  1.136   -13   15 o  0   0.91 136.46285  -8.58543  9499.11  9377.67 3.83 2.73 -85.3 -0.410 19.37 20.99 01a58080o0772o
58080.567505 -21.712  1.788    -8   13 o  0   1.24 136.46285  -8.58543  9513.50  9235.83 3.76 2.83 -84.4 -0.405 19.36 21.04 01a58080o0789o
58082.534389 -16.868  0.778  -650  506 c  0   1.18 136.46285  -8.58543  4650.55 10381.32 2.93 2.56  29.1 -0.443 16.04 17.61 02a58082o0731c
58082.540131  18.227  0.443   186   82 c  0   1.40 136.46285  -8.58543   819.72   714.92 2.80 2.37  41.1 -0.466 16.79 18.32 02a58082o0743c
58082.542414 -15.638  0.928 -2018 1872 c  0   1.15 136.46285  -8.58543  4667.66 10423.30 2.96 2.59  29.6 -0.450 15.38 17.03 02a58082o0748c
58082.548123 -21.870  1.465    -6   10 c  0   0.94 136.46285  -8.58543   838.15   755.69 2.76 2.44  45.0 -0.471 19.67 21.36 02a58082o0760c
